Subject,Channel,Band,Correlation,P_Value
3,T8,Alpha,0.044130,0.450964
3,FC6,Alpha,0.083554,0.151590
3,FC2,Alpha,0.100742,0.083577
3,F4,Alpha,0.136300,0.018975
3,F8,Alpha,0.126380,0.029717
3,Fp2,Alpha,0.077319,0.185390
3,AF7,Alpha,0.159157,0.006153
3,AFz,Alpha,0.122344,0.035702
3,F1,Alpha,0.125821,0.030452
3,F5,Alpha,0.171448,0.003187
3,FT7,Alpha,0.117504,0.043378
3,FC3,Alpha,0.176464,0.002311
3,C1,Alpha,0.086263,0.138710
3,C5,Alpha,0.193489,0.000835
3,TP7,Alpha,0.066923,0.251052
3,P1,Alpha,0.187951,0.001158
3,P5,Alpha,0.091794,0.115041
3,PO7,Alpha,0.082504,0.159670
3,PO3,Alpha,0.068472,0.241833
3,POz,Alpha,0.156262,0.007068
3,PO4,Alpha,0.194043,0.000806
3,PO8,Alpha,0.114647,0.050330
3,P6,Alpha,0.181034,0.001764
3,P2,Alpha,0.188268,0.001136
3,CPz,Alpha,0.074869,0.198984
3,TP8,Alpha,0.060252,0.302354
3,C6,Alpha,0.077120,0.187279
3,C2,Alpha,0.094311,0.105376
3,FC4,Alpha,0.112388,0.053824
3,FT8,Alpha,0.108414,0.062935
3,F6,Alpha,0.087916,0.131276
3,AF8,Alpha,0.052840,0.365817
3,F2,Alpha,0.135760,0.019457
4,Fp1,Alpha,0.199338,0.003642
4,Fz,Alpha,0.176563,0.009650
4,F3,Alpha,0.116070,0.095816
4,F7,Alpha,0.167134,0.015573
4,FC5,Alpha,0.115520,0.091860
4,FC1,Alpha,0.167338,0.014249
4,C3,Alpha,0.140180,0.040484
4,T7,Alpha,-0.005358,0.937894
4,CP5,Alpha,0.120318,0.079058
4,CP1,Alpha,0.180885,0.007989
4,Pz,Alpha,0.181562,0.007753
4,P3,Alpha,0.231125,0.000656
4,P7,Alpha,0.148229,0.030183
4,O1,Alpha,0.196549,0.003894
4,Oz,Alpha,0.243987,0.000315
4,O2,Alpha,0.229756,0.000707
4,P4,Alpha,0.120680,0.078154
4,P8,Alpha,0.196721,0.003862
4,CP6,Alpha,0.200361,0.003242
4,CP2,Alpha,0.170376,0.012558
4,Cz,Alpha,0.228706,0.000749
4,C4,Alpha,0.265118,0.000086
4,T8,Alpha,0.161920,0.017765
4,FC6,Alpha,0.301984,0.000010
4,FC2,Alpha,0.233091,0.000588
4,F4,Alpha,0.216713,0.001581
4,F8,Alpha,0.251192,0.000261
4,Fp2,Alpha,0.271626,0.000069
4,AF7,Alpha,0.170847,0.013164
4,AFz,Alpha,0.208980,0.002223
4,F1,Alpha,0.179947,0.008326
4,F5,Alpha,0.089722,0.208737
4,FT7,Alpha,0.032496,0.637213
4,FC3,Alpha,0.151065,0.027130
4,C1,Alpha,0.193586,0.004479
4,C5,Alpha,0.048467,0.480642
4,TP7,Alpha,0.144216,0.034999
4,P1,Alpha,0.215935,0.001483
4,P5,Alpha,0.225433,0.000896
4,PO7,Alpha,0.228454,0.000760
4,PO3,Alpha,0.198413,0.003562
4,POz,Alpha,0.181698,0.007706
4,PO4,Alpha,0.157793,0.020928
4,PO8,Alpha,0.212614,0.001761
4,P6,Alpha,0.191089,0.005033
4,P2,Alpha,0.120308,0.079084
4,CPz,Alpha,0.219545,0.001228
4,TP8,Alpha,0.213337,0.001696
4,C6,Alpha,0.270880,0.000060
4,C2,Alpha,0.252289,0.000192
4,FC4,Alpha,0.276053,0.000042
4,FT8,Alpha,0.233942,0.000613
4,F6,Alpha,0.151858,0.038010
4,AF8,Alpha,0.287168,0.000033
4,F2,Alpha,0.216906,0.001410
5,Fp1,Alpha,0.061952,0.287247
5,Fz,Alpha,0.033083,0.569459
5,F3,Alpha,0.049201,0.397398
5,F7,Alpha,-0.005560,0.924494
5,FC5,Alpha,0.039662,0.495196
5,FC1,Alpha,0.089492,0.123200
5,C3,Alpha,0.062445,0.282603
5,T7,Alpha,-0.014436,0.804660
5,CP5,Alpha,0.007897,0.892022
5,CP1,Alpha,-0.030571,0.599132
5,Pz,Alpha,0.019557,0.736707
5,P3,Alpha,-0.013171,0.820878
5,P7,Alpha,0.053429,0.358041
5,O1,Alpha,0.082241,0.157438
5,Oz,Alpha,0.101142,0.081830
5,O2,Alpha,0.044832,0.440674
5,P4,Alpha,0.032039,0.581706
5,P8,Alpha,0.013239,0.819960
5,CP6,Alpha,0.025639,0.659352
5,CP2,Alpha,0.058038,0.318030
5,Cz,Alpha,0.055733,0.337662
5,C4,Alpha,0.140795,0.014999
5,T8,Alpha,0.032249,0.579234
5,FC6,Alpha,0.016267,0.779740
5,FC2,Alpha,0.108021,0.062554
5,F4,Alpha,-0.011969,0.836975
5,F8,Alpha,0.013880,0.811719
5,Fp2,Alpha,-0.009376,0.872166
5,AF7,Alpha,0.078532,0.185393
5,AFz,Alpha,0.046172,0.427119
5,F1,Alpha,0.039907,0.492534
5,F5,Alpha,-0.000952,0.986945
5,FT7,Alpha,-0.012321,0.832537
5,FC3,Alpha,0.066339,0.253606
5,C1,Alpha,0.094484,0.103561
5,C5,Alpha,0.014686,0.800682
5,TP7,Alpha,-0.005632,0.922872
5,P1,Alpha,-0.027870,0.631813
5,P5,Alpha,0.060233,0.300033
5,PO7,Alpha,0.049895,0.390764
5,PO3,Alpha,0.061212,0.292238
5,POz,Alpha,0.069822,0.229473
5,PO4,Alpha,0.018856,0.745813
5,PO8,Alpha,0.030795,0.596463
5,P6,Alpha,0.009649,0.868255
5,P2,Alpha,0.009354,0.872255
5,CPz,Alpha,0.042672,0.463026
5,TP8,Alpha,-0.096950,0.094816
5,C6,Alpha,0.126896,0.028778
5,C2,Alpha,0.071671,0.217343
5,FC4,Alpha,0.069251,0.233314
5,FT8,Alpha,0.075052,0.197885
5,F6,Alpha,-0.035534,0.541184
5,AF8,Alpha,-0.008760,0.880307
5,F2,Alpha,0.056340,0.332417
6,Fp1,Alpha,-0.241363,0.000136
6,Fz,Alpha,-0.082784,0.154706
