Subject,Channel,Band,Correlation,P_Value
2,FC5,Theta,-0.12718741017930293,0.034031464293338747
2,FC1,Theta,-0.050349032948324095,0.4030231848769317
2,C3,Theta,0.005821075271327945,0.9230279926475258
2,T7,Theta,-0.0710090805711409,0.2379550226077229
2,CP5,Theta,-0.028416781775845733,0.6370960366497236
2,CP1,Theta,-0.0653503354178729,0.27754116357805675
2,Pz,Theta,-0.05086391423251125,0.39822434438571486
2,P3,Theta,-0.08833818465063378,0.1417978107211407
2,P7,Theta,-0.011456518765476688,0.8491806951030885
2,O1,Theta,-0.11915011549721058,0.04717184795323402
2,Oz,Theta,-0.07772730292720452,0.19632618499539212
2,O2,Theta,-0.07910903486910742,0.18846619030002015
2,P4,Theta,-0.07411578443969546,0.21799240225468305
2,P8,Theta,-0.03529655892630389,0.5578471434686036
2,CP6,Theta,-0.00712315032364004,0.9058830279728547
2,CP2,Theta,-0.05716928117477195,0.34227260266837967
2,Cz,Theta,-0.04610013584798406,0.44392225875165126
2,C4,Theta,-0.13386331108418234,0.025618569416615708
2,T8,Theta,0.0457779833141976,0.4471164780702114
2,FC6,Theta,-0.08792746905741551,0.14366673637678448
2,FC2,Theta,-0.03572866078937709,0.5530331740272112
2,F4,Theta,-0.05228311810558527,0.38517534883490334
2,F8,Theta,-0.03232681600418248,0.5914696984480076
2,Fp2,Theta,-0.15947501286455779,0.007720148336762404
2,AF7,Theta,-0.023561603100473193,0.6956977025146065
2,AFz,Theta,0.005014190049256475,0.9336709772425398
2,F1,Theta,0.02519856874019968,0.675715010742755
2,F5,Theta,-0.0665664855500728,0.2686782432303763
2,FT7,Theta,-0.12265978269138324,0.040987578539686625
2,FC3,Theta,-0.05768836970383004,0.33790051851398684
2,C1,Theta,-0.028532499764970253,0.6357247100047534
2,C5,Theta,-0.00616997389740522,0.9184300759616191
2,TP7,Theta,-0.01831396385398272,0.7611244993562629
2,P1,Theta,-0.021047156438829085,0.7268012275462816
2,P5,Theta,-0.018446392819599196,0.7594500178702391
2,PO7,Theta,-0.12993377303576434,0.03032210051608619
2,PO3,Theta,-0.10897628993112891,0.06964421721456751
2,POz,Theta,-0.13195161723592472,0.027821981346981793
2,PO4,Theta,-0.04287189085681433,0.4765119051092208
2,PO8,Theta,-0.06822863861719089,0.25688066924431596
2,P6,Theta,-0.02953844643689531,0.6238563542114923
2,P2,Theta,-0.1344484885684861,0.02497484125344297
2,CPz,Theta,-0.04649799517330685,0.4399953330457258
2,TP8,Theta,0.041366943751199314,0.4921387085035698
2,C6,Theta,-0.05253950163741059,0.3828460367948171
2,C2,Theta,-0.05066285842671595,0.4000941537648116
2,FC4,Theta,-0.03213284601255226,0.5936976148571923
2,FT8,Theta,-0.08433545079516652,0.160820712005409
2,F6,Theta,-0.07743103560318806,0.19804215977678988
2,AF8,Theta,-0.07124026529293788,0.23642671362574502
2,F2,Theta,-0.03033260413884308,0.6145546374016828
2,Fp1,Alpha,-0.04852051511919903,0.4203418753763356
2,Fz,Alpha,-0.03825556426819241,0.5252938597797333
2,F3,Alpha,-0.09893066260876271,0.0997406880284657
2,F7,Alpha,-0.11769695061133076,0.04995173810865255
2,FC5,Alpha,-0.06321161888957706,0.29360311330646344
2,FC1,Alpha,-0.08228975780767564,0.17125452835786475
2,C3,Alpha,0.0021658364195803414,0.971322991285996
2,T7,Alpha,-0.010350540424791133,0.8635908276531397
2,CP5,Alpha,0.07344742466747439,0.22218260632923342
2,CP1,Alpha,-0.10070802602014205,0.09377038934839158
2,Pz,Alpha,-0.14115991969649203,0.018532453768870326
2,P3,Alpha,0.035542745906385995,0.5551019339951642
2,P7,Alpha,0.11102430064790621,0.0645267200133279
2,O1,Alpha,0.056259382133359084,0.3500227175143791
2,Oz,Alpha,0.08173357295838732,0.1741765882862669
2,O2,Alpha,0.050540750714264726,0.4012323073406333
2,P4,Alpha,-0.05047836334629181,0.40181455912959685
2,P8,Alpha,0.004712546994394837,0.9376528447970522
2,CP6,Alpha,-0.10184892452782492,0.09009067245256032
2,CP2,Alpha,-0.04444634251357572,0.46045708232856153
2,Cz,Alpha,-0.08507654355696125,0.15716113743161708
