Subject,Channel,Band,Correlation,P_Value
1,FT7,Alpha,0.06793493485342317,0.24233867472502468
1,FC3,Alpha,0.13703800071888522,0.01793888197659484
1,C1,Alpha,-0.03928193921190812,0.49934401372138626
1,C5,Alpha,0.02896427766539041,0.6184811681064408
1,TP7,Alpha,0.028112658720354573,0.6288432050476778
1,P1,Alpha,0.07012422261097265,0.22745891097374868
1,P5,Alpha,0.06976325749495114,0.22986658960804932
1,PO7,Alpha,0.04250479893536285,0.46478326410994464
1,PO3,Alpha,0.044554960103679306,0.4435061517602744
1,POz,Alpha,-0.03585562900599185,0.5375242802534452
1,PO4,Alpha,0.012184531618237363,0.8340880595197937
1,PO8,Alpha,0.08371741610193084,0.14940260713949277
1,P6,Alpha,0.09158382690582981,0.11464494748879768
1,P2,Alpha,0.008658858909465132,0.8816722606696827
1,CPz,Alpha,0.03231962436246681,0.5783998115868196
1,TP8,Alpha,0.0026358855018047025,0.9638591949854136
1,C6,Alpha,0.02589597087438228,0.6561537842444077
1,C2,Alpha,0.01732830208856568,0.7657809667408512
1,FC4,Alpha,0.11497246246436683,0.04737061911761638
1,FT8,Alpha,0.007725836483417189,0.8943435799144992
1,F6,Alpha,0.04342551869693028,0.45515862930155604
1,AF8,Alpha,0.08612033306245995,0.13802760905467593
1,F2,Alpha,0.12368707309075452,0.032810162275834186
2,Fp1,Theta,-0.015293281785700935,0.7996068891374588
2,Fz,Theta,-0.027851686835232998,0.6438104445015804
2,F3,Theta,0.02285716095833662,0.7043630407309895
2,F7,Theta,0.006852352937501257,0.9094454062497106
2,FC5,Theta,-0.005275513055489515,0.9302226885499385
2,FC1,Theta,-0.06069013487750006,0.31332145011222684
2,C3,Theta,0.014182917823648533,0.8138805604614183
2,T7,Theta,-0.050493077677859384,0.40167718710073175
2,CP5,Theta,0.08913377372419208,0.13823046571783817
2,CP1,Theta,0.12322317173100375,0.04006148446655439
2,Pz,Theta,0.03325312063037402,0.5808833526324453
2,P3,Theta,0.07804751372770559,0.19448373957590506
2,P7,Theta,0.056034901926536027,0.351951638061205
2,O1,Theta,-0.002597222818943575,0.9656143955161686
2,Oz,Theta,0.038739433993072586,0.520064077547352
2,O2,Theta,-0.00933794118711148,0.8768241123972425
2,P4,Theta,-0.014466599218306632,0.8102277977461314
2,P8,Theta,-0.03860574784409906,0.521506316024581
2,CP6,Theta,0.03346478066017026,0.5784768179324322
2,CP2,Theta,0.03587283294194779,0.5514314968581467
2,Cz,Theta,0.06447932379721165,0.28400922041884474
2,C4,Theta,-0.02034753237798529,0.7355383907357937
2,T8,Theta,0.11282045524048014,0.0602964890706297
2,FC6,Theta,0.08818017171829193,0.14251462426031047
2,FC2,Theta,-0.04256092703425443,0.47971851071023675
2,F4,Theta,0.0639299684479013,0.2881404715992247
2,F8,Theta,0.13902807884826665,0.02040103836993681
2,Fp2,Theta,0.09934678074155118,0.09831656348123223
2,AF7,Theta,-0.01338522753385886,0.8241731993252923
2,AFz,Theta,0.0456417406364022,0.44847125866018167
2,F1,Theta,-0.06584582163853304,0.2739065957416223
2,F5,Theta,0.0191753153887057,0.750253506191826
2,FT7,Theta,-0.10738404491394773,0.07384786978774083
2,FC3,Theta,-0.09113181044931407,0.12957490313791392
2,C1,Theta,0.02826539387803169,0.6388919401222488
2,C5,Theta,0.010644408508543665,0.8597573200599317
2,TP7,Theta,-0.09845400322290597,0.10139206453753669
2,P1,Theta,0.08679800262564714,0.1489031461030572
2,P5,Theta,0.07139222898954177,0.23542588444455148
2,PO7,Theta,0.019392640102312456,0.7475183618206067
2,PO3,Theta,0.09421699689880722,0.1170395683011123
2,POz,Theta,0.02445607138395646,0.6847516723089899
2,PO4,Theta,-0.015210517930016125,0.8006685841130057
2,PO8,Theta,0.0164678860348284,0.7845796409139372
2,P6,Theta,-0.05883824236773126,0.3283432661197977
2,P2,Theta,0.09535169823699864,0.11267502154416857
2,CPz,Theta,0.028024438771316697,0.6417547180089758
2,TP8,Theta,0.11947812526861634,0.04656260188220756
2,C6,Theta,0.041410237848203094,0.49168537175785687
2,C2,Theta,0.02177539271273973,0.7177441436361884
2,FC4,Theta,0.07315116751651324,0.22405819023418422
2,FT8,Theta,0.14211994761375116,0.017740823665051104
2,F6,Theta,0.07070903267501219,0.2399488975965958
2,AF8,Theta,0.07188221797724545,0.23221915156275683
2,F2,Theta,0.007498793319303438,0.9009445225316178
2,Fp1,Alpha,-0.03584129703349968,0.5517816504536641
2,Fz,Alpha,-0.0598850908227693,0.31979547603102826
2,F3,Alpha,0.14327653911414134,0.016826383749030026
2,F7,Alpha,0.17154281401508525,0.004122967538018585
2,FC5,Alpha,0.016676725699672015,0.7819160283180907
2,FC1,Alpha,0.12338665459509446,0.03979608041269351
2,C3,Alpha,-0.005456330340162206,0.9278374718813662
2,T7,Alpha,0.07352753537710921,0.2216773571397209
2,CP5,Alpha,-0.1172605054109785,0.0508128565235673
2,CP1,Alpha,0.04714826860847903,0.4336199148505717
2,Pz,Alpha,-0.031157747279680056,0.6049548933250505
2,P3,Alpha,-0.007972197659711633,0.8947262178003967
2,P7,Alpha,-0.06714139095989097,0.26455653621988656
2,O1,Alpha,-0.026734808586614926,0.6571660633095469
2,Oz,Alpha,-0.020974292190603778,0.7277095589115334
2,O2,Alpha,-0.008047183043929387,0.8937418428187203
2,P4,Alpha,0.08589228229814701,0.15320592302304625
2,P8,Alpha,0.0996878985627955,0.0971612082806978
2,CP6,Alpha,0.04815945473427028,0.4238123200726147
2,CP2,Alpha,0.01672482794340063,0.7813028748445211
2,Cz,Alpha,0.03940116537286447,0.5129554008663547
2,C4,Alpha,0.039733505686988864,0.5094043092484652
2,T8,Alpha,0.1110088943972241,0.06456403158379363
2,FC6,Alpha,-0.020495651895950925,0.7336857339796644
2,FC2,Alpha,0.050720449479694826,0.39955802400840157
2,F4,Alpha,0.013151924226216999,0.827189300808858
2,F8,Alpha,0.01910218153978262,0.7511746382249935
2,Fp2,Alpha,0.024083399225304787,0.6893043986698734
2,AF7,Alpha,0.014916237506039235,0.8044465685662303
2,AFz,Alpha,0.10395324445686709,0.08360746283519375
2,F1,Alpha,0.07446881801001438,0.21580203977769036
2,F5,Alpha,-0.022024684613903917,0.7146526655280265
2,FT7,Alpha,0.15377275239867258,0.010239308682025125
2,FC3,Alpha,0.14411660974641965,0.01618825446672162
2,C1,Alpha,0.019048425592916546,0.7518519276392814
2,C5,Alpha,0.12478177621171165,0.03759097241656484
2,TP7,Alpha,-0.010666482993961767,0.859469490052357
2,P1,Alpha,0.03926153713423389,0.5144511607688091
2,P5,Alpha,-0.1374978075646781,0.02184116194911044
2,PO7,Alpha,-0.014289028796442662,0.8125137693907916
2,PO3,Alpha,-0.03274761209816109,0.5866496678022286
2,POz,Alpha,0.030363893292666595,0.6141894036992516
2,PO4,Alpha,-0.03587863879409647,0.5513670444083186
2,PO8,Alpha,0.013504502248009146,0.8226322321638082
2,P6,Alpha,0.10736563701011494,0.07389764840666639
2,P2,Alpha,0.13442606770759016,0.02499924637936247
2,CPz,Alpha,0.13021020029559008,0.029968644967665152
2,TP8,Alpha,0.12023366649529894,0.04518428329066917
2,C6,Alpha,-0.047882557180232196,0.426485065307036
2,C2,Alpha,0.03127899469738812,0.6035499490586377
